food_category,hours_since_cooked,storage_temp_c,humidity_pct,freshness_score
dairy_based,8.88,24.7,66.7,0.0
dairy_based,6.3,12.2,76.6,0.0
rice_curry,5.21,23.8,83.8,0.0
baked_goods,4.29,29.2,61.2,0.014
rice_curry,4.64,26.7,32.1,0.018
rice_curry,2.09,37.4,72.6,0.0
baked_goods,8.23,31.5,89.1,0.0
raw_salads,1.98,32.7,45.5,0.004
baked_goods,7.17,40.0,57.8,0.0
raw_salads,7.6,28.5,51.7,0.005
raw_salads,5.75,25.0,53.4,0.044
dairy_based,8.63,29.8,73.3,0.0
baked_goods,2.91,20.6,52.7,0.576
rice_curry,8.82,24.6,86.5,0.0
dairy_based,7.29,20.1,77.4,0.0
fried_items,7.99,26.4,31.7,0.0
raw_salads,6.65,20.1,79.1,0.0
raw_salads,8.46,19.9,76.4,0.004
dairy_based,9.93,26.5,61.0,0.0
fried_items,4.2,23.2,59.8,0.0
rice_curry,8.14,12.4,80.1,0.042
baked_goods,7.45,15.3,55.5,0.105
fried_items,4.53,17.1,39.6,0.119
fried_items,9.27,18.7,48.8,0.004
baked_goods,3.94,26.5,45.9,0.157
fried_items,5.65,25.3,70.9,0.023
dry_snacks,1.06,30.4,40.7,0.788
rice_curry,2.26,28.5,68.7,0.0
rice_curry,8.41,30.4,58.0,0.0
baked_goods,3.97,27.7,80.4,0.076
dry_snacks,3.94,25.3,59.1,0.43
rice_curry,2.46,30.6,85.8,0.0
fried_items,4.92,29.5,84.0,0.0
baked_goods,8.06,26.3,41.1,0.0
fried_items,8.95,31.6,71.2,0.0
raw_salads,0.7,9.9,42.9,0.656
raw_salads,5.75,22.3,79.4,0.0
dry_snacks,4.67,22.2,68.1,0.401
raw_salads,6.14,30.9,47.6,0.0
fried_items,4.47,33.4,44.9,0.009
fried_items,3.99,15.3,55.8,0.227
dry_snacks,4.72,32.5,78.0,0.0
fried_items,5.82,17.0,77.8,0.024
baked_goods,5.01,17.2,32.0,0.35
fried_items,4.72,22.6,48.1,0.0
dry_snacks,8.18,22.1,55.4,0.01
fried_items,7.46,14.6,65.1,0.028
raw_salads,3.41,27.9,39.0,0.003
baked_goods,8.01,28.1,50.1,0.004
dry_snacks,8.54,30.3,83.1,0.0
raw_salads,1.53,21.4,58.6,0.273
raw_salads,5.83,23.8,74.6,0.018
rice_curry,2.85,23.8,59.1,0.0
baked_goods,7.39,34.1,57.9,0.04
dairy_based,2.39,7.0,67.3,0.53
fried_items,6.71,18.3,45.6,0.0
dairy_based,2.55,24.0,45.0,0.0
baked_goods,5.11,17.5,89.4,0.389
raw_salads,9.49,22.5,82.1,0.02
baked_goods,3.81,23.2,74.3,0.351
raw_salads,8.76,20.1,38.2,0.004
raw_salads,9.87,24.4,31.8,0.0
dry_snacks,8.75,27.8,40.5,0.004
rice_curry,1.66,22.6,86.3,0.258
baked_goods,8.2,21.3,79.0,0.0
fried_items,0.32,23.0,61.4,0.969
dry_snacks,3.93,24.0,88.1,0.42
dry_snacks,8.71,13.6,38.8,0.098
fried_items,6.89,26.8,63.5,0.0
fried_items,5.33,21.3,41.0,0.004
rice_curry,3.88,31.6,48.4,0.0
rice_curry,8.12,27.5,86.4,0.0
dry_snacks,7.1,31.0,82.1,0.0
fried_items,4.68,17.9,36.1,0.084
dry_snacks,8.92,21.8,45.0,0.0
fried_items,2.3,16.5,65.7,0.536
dairy_based,1.7,19.8,33.7,0.138
dairy_based,6.43,31.5,63.0,0.049
baked_goods,9.72,32.9,65.1,0.0
fried_items,2.47,17.1,47.5,0.564
baked_goods,2.5,21.3,47.6,0.666
baked_goods,1.39,23.5,43.7,0.807
raw_salads,8.61,27.5,86.1,0.0
baked_goods,2.26,13.4,53.3,0.727
fried_items,5.03,14.4,65.1,0.031
dairy_based,9.91,26.9,48.1,0.027
rice_curry,0.12,12.3,72.2,0.963
fried_items,5.56,21.3,36.1,0.0
dry_snacks,5.12,25.0,34.3,0.228
raw_salads,8.07,26.5,74.7,0.019
raw_salads,3.55,23.1,73.6,0.027
dry_snacks,4.1,21.8,45.9,0.498
baked_goods,1.68,29.1,51.3,0.577
dry_snacks,7.41,25.7,87.4,0.0
baked_goods,7.85,20.1,36.3,0.032
dry_snacks,1.37,24.2,41.0,0.778
dairy_based,3.93,26.3,55.8,0.025
fried_items,8.93,34.3,46.9,0.016
baked_goods,0.03,28.7,68.9,0.968
dairy_based,2.99,31.3,71.4,0.035
raw_salads,5.55,20.3,61.6,0.0
baked_goods,3.34,20.9,66.7,0.59
rice_curry,2.72,22.6,56.0,0.01
baked_goods,4.6,23.1,75.6,0.167
baked_goods,1.82,18.0,32.5,0.821
dairy_based,5.3,31.6,48.8,0.029
baked_goods,7.07,29.3,71.1,0.0
raw_salads,5.75,22.2,49.8,0.0
baked_goods,0.93,27.9,34.7,0.745
baked_goods,8.44,25.3,50.7,0.072
fried_items,1.75,28.3,72.7,0.319
rice_curry,7.65,15.9,37.3,0.0
baked_goods,3.61,23.1,73.5,0.403
dairy_based,7.83,23.7,76.5,0.0
fried_items,2.06,27.7,68.1,0.231
rice_curry,1.87,20.2,44.7,0.393
rice_curry,4.97,9.0,78.3,0.0
dry_snacks,0.33,17.5,42.9,0.955
raw_salads,2.25,23.6,84.3,0.0
dry_snacks,7.24,24.4,72.4,0.0
dry_snacks,8.37,34.1,33.3,0.0
raw_salads,0.81,27.5,78.0,0.394
fried_items,8.82,24.5,60.4,0.0
dairy_based,7.98,23.8,57.2,0.0
baked_goods,8.7,30.6,55.2,0.0
dairy_based,6.98,20.5,66.4,0.025
dry_snacks,6.74,23.2,73.5,0.123
baked_goods,5.25,17.5,83.8,0.292
rice_curry,6.53,32.5,46.4,0.0
fried_items,9.19,26.4,67.8,0.0
raw_salads,1.01,19.8,71.2,0.651
raw_salads,3.16,23.3,70.5,0.0
dairy_based,0.72,27.1,59.6,0.377
baked_goods,9.45,22.5,53.5,0.003
fried_items,4.45,20.8,75.7,0.02
dairy_based,6.75,20.1,48.0,0.0
dry_snacks,8.41,26.0,42.5,0.035
dairy_based,9.91,21.9,62.7,0.011
fried_items,1.62,21.3,46.1,0.66
raw_salads,8.0,16.0,32.0,0.018
dry_snacks,8.87,24.5,33.1,0.027
baked_goods,0.49,22.9,71.7,0.957
raw_salads,7.54,22.1,88.4,0.012
raw_salads,3.55,25.2,57.3,0.07
dairy_based,6.49,28.5,38.8,0.037
dry_snacks,5.14,28.2,79.1,0.025
rice_curry,2.6,27.3,45.7,0.025
raw_salads,1.35,22.6,89.7,0.312
raw_salads,1.17,20.6,63.8,0.558
fried_items,1.03,17.7,44.0,0.764
dry_snacks,6.38,20.4,59.8,0.351
dry_snacks,3.51,24.1,50.1,0.483
dairy_based,2.17,19.3,76.8,0.0
fried_items,6.92,24.6,36.3,0.0
dry_snacks,6.87,18.2,81.4,0.306
baked_goods,5.39,14.0,76.0,0.268
fried_items,9.35,28.9,81.7,0.002
dry_snacks,3.85,21.2,83.7,0.553
dry_snacks,8.36,19.0,43.8,0.169
dairy_based,0.75,17.4,61.3,0.682
baked_goods,7.4,26.5,81.0,0.0
baked_goods,9.88,32.2,52.6,0.01
dairy_based,8.47,21.6,33.6,0.003
rice_curry,5.8,22.7,47.5,0.006
raw_salads,6.27,30.4,44.5,0.067
dairy_based,3.53,13.1,82.2,0.0
rice_curry,6.79,35.8,57.8,0.0
dairy_based,7.7,38.7,71.0,0.045
dry_snacks,9.98,7.8,87.7,0.564
rice_curry,4.92,23.4,48.0,0.0
fried_items,0.61,19.7,75.7,0.839
raw_salads,5.96,22.4,31.4,0.0
baked_goods,1.19,21.5,36.2,0.775
baked_goods,2.45,28.9,39.7,0.412
fried_items,3.29,23.3,48.7,0.122
dry_snacks,7.31,18.5,54.2,0.304
dairy_based,1.84,23.0,58.6,0.019
raw_salads,1.66,27.1,44.7,0.018
dry_snacks,0.45,16.9,34.0,0.928
raw_salads,8.73,14.1,70.7,0.016
baked_goods,6.94,36.0,31.4,0.042
rice_curry,0.4,20.1,78.6,0.858
baked_goods,0.28,23.2,85.7,0.94
raw_salads,5.59,21.6,72.6,0.0
dry_snacks,2.83,27.3,65.8,0.537
dry_snacks,5.97,34.6,69.4,0.044
fried_items,4.35,27.5,69.1,0.001
raw_salads,9.23,14.9,85.9,0.0
dry_snacks,2.88,15.7,87.9,0.679
fried_items,6.79,21.6,55.6,0.0
dry_snacks,0.54,22.4,67.0,0.915
fried_items,9.56,13.7,78.2,0.001
fried_items,9.81,28.9,30.1,0.008
dry_snacks,7.39,17.5,61.6,0.289
baked_goods,4.65,33.0,69.2,0.002
raw_salads,2.2,34.9,73.0,0.0
raw_salads,8.13,22.5,52.1,0.0
dry_snacks,7.36,26.6,47.7,0.0
rice_curry,2.22,16.6,40.9,0.255
rice_curry,4.51,27.7,63.5,0.05
dairy_based,4.63,21.0,85.2,0.033
dry_snacks,8.26,17.5,83.8,0.175
raw_salads,6.84,22.3,51.6,0.004
baked_goods,6.43,21.2,45.5,0.058
baked_goods,6.5,22.0,77.3,0.011
rice_curry,2.7,29.7,73.5,0.0
dry_snacks,3.72,19.3,60.3,0.677
raw_salads,0.46,34.4,53.3,0.506
rice_curry,7.87,16.0,37.4,0.012
fried_items,4.33,33.7,77.1,0.0
raw_salads,4.38,17.9,67.0,0.0
dry_snacks,2.45,24.0,52.6,0.677
dry_snacks,2.09,21.1,85.1,0.774
dry_snacks,5.88,21.9,69.6,0.287
dry_snacks,2.33,28.8,85.8,0.56
dry_snacks,0.64,33.0,58.5,0.832
baked_goods,7.68,31.1,57.3,0.007
fried_items,3.76,21.6,86.2,0.133
raw_salads,3.8,25.1,87.6,0.0
baked_goods,4.31,19.3,87.6,0.417
raw_salads,8.15,18.1,79.1,0.0
rice_curry,3.21,17.1,57.7,0.03
rice_curry,7.58,21.4,42.6,0.0
raw_salads,9.4,25.5,53.0,0.0
rice_curry,6.61,12.5,86.3,0.0
dry_snacks,4.32,23.7,51.8,0.394
baked_goods,7.48,33.1,75.4,0.0
baked_goods,4.58,30.7,85.4,0.015
raw_salads,4.14,20.5,88.2,0.0
raw_salads,5.25,15.6,86.9,0.0
dry_snacks,3.18,26.8,63.3,0.446
baked_goods,1.04,10.1,59.5,0.861
raw_salads,4.15,30.7,89.3,0.0
baked_goods,1.24,22.7,43.1,0.825
baked_goods,4.1,35.0,41.3,0.003
raw_salads,5.57,13.6,87.8,0.002
dairy_based,9.31,29.5,71.4,0.0
dry_snacks,0.36,23.4,62.2,1.0
dairy_based,6.21,22.0,37.9,0.0
rice_curry,4.58,15.8,60.8,0.0
dry_snacks,0.2,27.6,86.7,0.99
dry_snacks,2.5,28.1,66.2,0.557
baked_goods,1.18,34.7,54.3,0.644
fried_items,2.17,30.0,63.1,0.141
fried_items,2.75,20.4,83.2,0.421
baked_goods,4.01,18.0,84.8,0.483
fried_items,5.29,15.8,54.0,0.0
fried_items,0.01,32.8,66.5,1.0
dry_snacks,1.62,19.3,46.8,0.858
raw_salads,0.94,32.9,57.1,0.186
dairy_based,5.5,27.2,43.2,0.053
dry_snacks,3.29,26.0,61.9,0.482
baked_goods,5.48,22.2,64.7,0.125
baked_goods,2.22,28.0,50.3,0.555
dry_snacks,0.24,23.9,46.3,0.936
rice_curry,9.41,21.8,39.1,0.01
dry_snacks,1.08,28.2,38.4,0.795
rice_curry,1.27,23.1,72.7,0.419
dry_snacks,1.47,19.2,43.3,0.876
baked_goods,9.81,27.6,37.1,0.007
fried_items,6.18,23.6,89.9,0.0
raw_salads,6.1,26.9,45.6,0.0
baked_goods,9.87,21.3,83.8,0.0
fried_items,0.88,16.7,66.6,0.793
fried_items,9.75,34.4,72.9,0.0
dry_snacks,2.04,33.3,63.7,0.518
dry_snacks,6.23,29.3,40.8,0.055
fried_items,4.2,21.7,80.8,0.0
dry_snacks,3.84,22.2,79.7,0.448
dry_snacks,9.31,32.3,51.0,0.042
rice_curry,1.49,21.9,75.8,0.407
raw_salads,9.97,20.2,62.6,0.0
dairy_based,3.79,35.2,84.5,0.0
baked_goods,6.49,23.7,78.2,0.0
dairy_based,9.68,34.6,32.5,0.058
rice_curry,0.58,15.6,82.8,0.787
dairy_based,9.23,27.1,88.1,0.0
dry_snacks,5.68,36.4,74.5,0.0
baked_goods,7.04,24.2,37.2,0.036
rice_curry,1.49,22.4,78.4,0.369
dairy_based,5.33,17.0,68.8,0.0
raw_salads,6.74,30.5,50.3,0.0
fried_items,4.56,19.4,83.0,0.037
dairy_based,1.55,23.4,63.9,0.042
fried_items,2.44,16.6,81.2,0.488
baked_goods,8.54,33.3,70.2,0.0
rice_curry,0.34,30.9,47.3,0.771
fried_items,7.09,23.8,88.5,0.0
raw_salads,9.99,17.1,64.3,0.0
fried_items,0.07,33.2,61.0,0.934
dairy_based,1.61,21.8,54.2,0.018
dry_snacks,6.74,17.4,38.2,0.358
rice_curry,0.6,13.4,71.2,0.796
raw_salads,5.9,20.1,55.8,0.014
fried_items,6.84,15.3,86.1,0.0
rice_curry,5.88,20.3,87.9,0.0
dairy_based,3.65,28.5,76.1,0.0
fried_items,6.97,21.7,44.5,0.0
fried_items,5.94,26.1,73.0,0.022
baked_goods,2.08,19.7,31.2,0.783
rice_curry,5.63,24.4,79.6,0.0
fried_items,8.82,35.5,59.6,0.0
dairy_based,6.67,21.9,86.2,0.0
raw_salads,4.72,26.3,52.7,0.056
dry_snacks,3.22,14.6,45.8,0.732
dry_snacks,0.86,33.1,89.7,0.748
dairy_based,2.45,21.1,61.8,0.036
fried_items,0.11,30.3,81.8,0.935
baked_goods,9.87,23.3,84.7,0.007
dairy_based,2.22,27.7,61.1,0.023
raw_salads,8.15,28.0,57.3,0.0
dairy_based,1.69,21.3,63.2,0.062
dry_snacks,2.84,30.6,80.9,0.426
dry_snacks,4.18,19.4,87.9,0.553
raw_salads,3.24,28.7,49.7,0.0
dry_snacks,7.98,21.7,74.3,0.008
raw_salads,9.58,26.1,47.1,0.021
rice_curry,8.75,21.2,66.7,0.0
dry_snacks,1.54,24.3,78.3,0.734
rice_curry,7.77,17.6,83.2,0.0
fried_items,1.48,25.5,56.9,0.546
dairy_based,9.13,24.3,52.2,0.0
baked_goods,5.18,20.8,45.2,0.304
fried_items,3.36,23.7,38.0,0.028
dairy_based,1.57,24.8,51.9,0.04
fried_items,0.12,20.3,82.3,0.954
raw_salads,2.48,23.2,55.1,0.0
dairy_based,9.14,18.0,49.0,0.0
dry_snacks,7.97,38.1,74.3,0.017
dairy_based,9.7,30.4,42.9,0.017
raw_salads,1.01,25.6,45.4,0.376
rice_curry,5.92,31.0,86.2,0.0
raw_salads,2.57,12.1,34.9,0.026
fried_items,5.43,8.7,54.9,0.006
fried_items,3.2,21.6,64.6,0.244
rice_curry,2.83,15.7,43.8,0.043
raw_salads,5.74,22.6,46.9,0.013
dry_snacks,1.83,25.2,43.3,0.763
rice_curry,4.69,29.5,50.7,0.0
dairy_based,6.51,17.2,83.9,0.02
dairy_based,1.28,26.4,55.9,0.011
dairy_based,9.31,24.1,55.1,0.011
dry_snacks,5.06,26.1,53.2,0.259
rice_curry,8.2,20.9,87.8,0.022
dry_snacks,6.54,32.3,37.0,0.05
fried_items,7.1,23.4,82.3,0.0
dairy_based,7.16,34.6,49.6,0.066
fried_items,8.75,19.3,87.4,0.0
fried_items,6.14,28.5,48.9,0.0
baked_goods,2.78,23.6,35.0,0.461
fried_items,1.0,22.0,61.2,0.769
fried_items,6.06,27.8,43.7,0.0
fried_items,0.66,22.2,75.2,0.835
fried_items,2.41,8.0,69.4,0.473
fried_items,0.61,5.6,71.2,0.994
rice_curry,5.49,31.6,41.6,0.017
rice_curry,1.6,31.4,72.5,0.056
baked_goods,6.1,35.3,48.7,0.0
dairy_based,7.91,23.9,89.9,0.017
fried_items,8.22,16.2,73.9,0.0
rice_curry,3.1,21.5,65.4,0.001
dairy_based,5.49,24.1,82.0,0.0
fried_items,5.63,18.0,65.4,0.0
fried_items,4.73,33.9,63.2,0.0
fried_items,6.55,37.4,44.2,0.0
dairy_based,2.1,26.9,70.7,0.0
raw_salads,9.79,23.9,52.5,0.0
fried_items,0.98,16.2,32.6,0.807
baked_goods,8.29,33.3,79.0,0.016
baked_goods,5.94,24.5,33.1,0.009
fried_items,2.45,22.3,70.3,0.424
raw_salads,7.46,26.9,39.4,0.0
dry_snacks,0.84,20.5,56.0,0.898
raw_salads,7.74,24.9,81.5,0.0
raw_salads,5.9,15.3,35.7,0.01
fried_items,1.11,30.5,70.0,0.51
baked_goods,0.8,23.4,66.8,0.888
fried_items,7.51,31.0,82.1,0.0
rice_curry,2.93,22.8,40.4,0.0
baked_goods,8.89,23.2,78.0,0.0
rice_curry,7.62,16.7,57.0,0.0
rice_curry,6.98,28.6,55.7,0.0
fried_items,2.79,18.7,51.7,0.426
raw_salads,7.09,21.1,53.1,0.0
dairy_based,9.48,24.0,61.2,0.0
dairy_based,0.92,24.7,36.4,0.359
dry_snacks,3.26,13.8,55.5,0.681
dry_snacks,2.35,22.6,69.1,0.724
dry_snacks,3.93,28.8,59.9,0.277
dry_snacks,7.42,21.7,39.9,0.111
raw_salads,4.74,22.7,51.8,0.0
raw_salads,5.71,25.0,56.6,0.0
baked_goods,3.14,23.2,70.1,0.45
dry_snacks,1.41,17.8,84.0,0.812
dry_snacks,2.67,23.8,63.0,0.659
rice_curry,8.6,30.0,70.6,0.019
fried_items,6.02,17.7,34.6,0.066
dairy_based,3.78,21.8,87.3,0.0
dairy_based,7.9,15.7,48.9,0.048
rice_curry,0.64,29.6,51.3,0.626
baked_goods,2.54,23.4,43.4,0.566
rice_curry,2.3,18.9,35.1,0.247
dry_snacks,9.85,24.6,77.4,0.02
baked_goods,7.06,16.8,44.4,0.116
raw_salads,6.18,17.8,47.0,0.0
dry_snacks,0.05,15.2,40.9,0.976
dairy_based,1.84,17.6,88.5,0.0
baked_goods,6.36,32.1,76.9,0.0
baked_goods,3.8,19.6,85.8,0.478
raw_salads,9.24,26.8,81.7,0.0
dairy_based,7.65,19.0,84.4,0.0
dairy_based,4.47,28.6,58.7,0.0
baked_goods,7.5,17.8,40.2,0.087
dry_snacks,9.75,24.2,49.6,0.015
rice_curry,4.61,24.3,47.5,0.0
fried_items,6.43,38.0,73.0,0.0
baked_goods,9.19,27.8,31.5,0.0
dry_snacks,2.49,20.4,38.5,0.763
fried_items,8.87,28.1,71.0,0.0
dairy_based,0.98,36.8,37.4,0.008
fried_items,6.48,14.2,32.9,0.015
raw_salads,7.83,18.9,36.6,0.0
dry_snacks,6.15,22.6,71.4,0.17
raw_salads,4.96,21.5,38.4,0.029
dairy_based,6.17,22.0,38.8,0.021
baked_goods,1.52,16.2,43.8,0.794
dairy_based,2.16,32.4,75.1,0.0
rice_curry,2.7,15.5,42.0,0.138
baked_goods,5.98,22.8,32.1,0.078
baked_goods,4.42,30.3,84.4,0.0
dry_snacks,2.44,23.8,82.6,0.595
baked_goods,8.83,18.1,41.1,0.0
baked_goods,3.74,15.9,45.9,0.523
dairy_based,4.46,22.6,41.3,0.044
raw_salads,4.1,19.5,73.2,0.0
fried_items,1.82,25.2,45.0,0.428
dairy_based,7.32,15.6,85.9,0.0
dry_snacks,4.48,28.9,79.7,0.118
baked_goods,0.16,24.7,65.3,0.965
rice_curry,9.64,25.1,30.5,0.0
baked_goods,8.16,32.6,83.0,0.01
fried_items,7.24,21.4,73.7,0.0
dairy_based,8.69,19.6,77.3,0.057
dry_snacks,9.07,20.7,34.3,0.0
baked_goods,3.37,22.8,72.5,0.493
dry_snacks,6.11,23.5,78.3,0.201
dairy_based,6.09,19.0,87.4,0.0
raw_salads,2.67,11.9,64.8,0.0
raw_salads,2.22,20.6,60.5,0.028
raw_salads,1.14,26.2,55.5,0.236
raw_salads,6.59,24.8,72.1,0.0
fried_items,7.81,31.2,85.2,0.0
rice_curry,7.61,35.7,66.0,0.0
raw_salads,3.16,28.6,43.6,0.069
baked_goods,2.05,32.3,31.1,0.42
raw_salads,4.54,28.6,67.1,0.0
fried_items,5.47,34.3,81.9,0.0
dry_snacks,9.19,35.1,34.0,0.0
fried_items,8.75,29.7,53.9,0.0
dairy_based,9.16,28.2,86.4,0.0
raw_salads,8.5,22.8,60.1,0.0
dairy_based,9.65,23.8,43.2,0.024
rice_curry,4.65,22.0,51.2,0.007
dry_snacks,0.47,27.7,54.5,0.937
raw_salads,0.84,19.7,37.0,0.665
baked_goods,3.9,22.9,69.6,0.37
dry_snacks,2.58,9.9,65.5,0.73
dairy_based,1.7,34.3,68.9,0.021
dairy_based,9.53,22.7,66.6,0.003
dairy_based,1.95,26.7,31.0,0.0
raw_salads,9.59,32.7,40.5,0.0
dry_snacks,7.61,25.8,39.9,0.0
rice_curry,6.41,32.7,35.9,0.001
rice_curry,6.76,16.5,74.1,0.0
rice_curry,3.31,38.4,37.2,0.0
raw_salads,6.46,30.5,70.1,0.013
raw_salads,1.87,25.3,40.7,0.025
dry_snacks,9.38,32.6,37.1,0.054
fried_items,3.02,17.0,39.8,0.378
rice_curry,2.55,22.3,60.5,0.019
rice_curry,7.11,32.7,68.7,0.0
rice_curry,6.56,12.8,78.7,0.006
rice_curry,4.51,27.4,37.7,0.0
dairy_based,6.32,27.2,67.0,0.0
raw_salads,1.59,35.8,76.4,0.0
fried_items,6.73,14.5,48.7,0.0
baked_goods,2.71,33.7,34.8,0.177
dairy_based,2.73,20.6,39.4,0.0
dry_snacks,1.62,21.3,35.5,0.838
dry_snacks,3.32,16.7,83.2,0.616
rice_curry,3.31,17.5,52.6,0.0
rice_curry,4.54,26.4,61.4,0.0
raw_salads,1.9,17.3,76.1,0.247
raw_salads,1.93,28.4,52.3,0.025
raw_salads,5.42,20.0,68.9,0.0
fried_items,1.29,16.7,34.6,0.774
fried_items,6.89,20.8,58.9,0.0
fried_items,9.44,26.0,35.8,0.007
dairy_based,4.27,22.3,44.9,0.0
baked_goods,9.01,24.2,47.6,0.011
baked_goods,0.98,28.2,73.1,0.84
baked_goods,0.43,30.5,70.4,0.883
fried_items,7.21,22.1,74.8,0.0
dry_snacks,7.61,17.7,33.7,0.232
baked_goods,8.43,24.5,89.6,0.0
dairy_based,0.57,26.8,33.3,0.566
baked_goods,7.77,15.2,79.5,0.019
fried_items,3.77,18.7,74.4,0.201
raw_salads,3.03,19.7,65.5,0.0
dairy_based,1.73,22.8,56.3,0.0
raw_salads,9.96,19.4,75.4,0.013
raw_salads,0.64,28.2,74.4,0.487
rice_curry,8.27,14.4,38.2,0.033
dairy_based,6.39,14.5,77.6,0.0
fried_items,7.35,22.0,34.7,0.0
baked_goods,7.12,22.9,60.0,0.0
baked_goods,8.58,15.3,68.7,0.044
raw_salads,1.84,20.4,79.3,0.177
dairy_based,0.01,21.6,57.8,0.973
fried_items,5.99,21.6,44.2,0.029
dairy_based,3.54,24.9,59.4,0.006
raw_salads,1.24,20.0,45.0,0.48
rice_curry,1.86,32.9,61.7,0.027
fried_items,3.32,26.9,57.8,0.03
dry_snacks,0.7,19.2,76.8,0.923
raw_salads,0.57,24.6,44.4,0.65
dairy_based,9.16,24.7,42.0,0.0
dairy_based,3.12,31.3,58.5,0.009
fried_items,9.82,20.4,33.0,0.0
dairy_based,9.64,28.6,43.8,0.04
raw_salads,1.43,24.3,51.2,0.238
fried_items,7.15,32.9,59.3,0.0
fried_items,6.01,31.7,46.2,0.011
dry_snacks,6.91,25.2,63.6,0.032
dry_snacks,0.96,22.4,82.7,0.916
dairy_based,1.89,27.0,62.6,0.044
raw_salads,0.77,22.9,47.2,0.552
raw_salads,6.04,34.1,33.7,0.0
fried_items,9.87,24.5,38.2,0.015
fried_items,6.72,21.6,63.7,0.0
dairy_based,7.11,21.2,71.0,0.042
rice_curry,9.85,16.7,33.0,0.049
dry_snacks,6.78,27.3,41.1,0.0
dairy_based,0.4,19.1,49.1,0.794
rice_curry,8.67,30.6,49.2,0.0
rice_curry,3.65,16.2,87.5,0.0
rice_curry,0.04,24.8,42.2,0.972
dry_snacks,5.07,30.9,33.8,0.029
fried_items,9.37,11.1,51.2,0.0
raw_salads,2.57,36.1,38.1,0.0
baked_goods,4.92,21.4,37.6,0.248
dairy_based,1.74,24.8,54.4,0.0
dairy_based,0.58,27.4,48.4,0.478
rice_curry,0.81,28.4,35.5,0.513
dry_snacks,7.27,25.6,66.3,0.0
fried_items,8.64,30.0,60.1,0.0
fried_items,1.43,27.1,34.6,0.482
dry_snacks,2.88,34.6,81.8,0.237
dairy_based,1.95,27.1,47.1,0.0
rice_curry,0.27,35.8,87.7,0.724
rice_curry,5.53,29.4,85.9,0.0
baked_goods,7.0,13.2,56.0,0.095
fried_items,6.48,39.7,43.7,0.0
fried_items,3.88,20.6,80.1,0.144
baked_goods,5.55,33.0,51.7,0.024
raw_salads,0.94,24.2,39.8,0.462
baked_goods,1.54,30.4,63.1,0.636
fried_items,9.32,19.9,59.4,0.0
raw_salads,7.62,27.8,81.0,0.0
dairy_based,9.23,22.5,73.8,0.0
raw_salads,9.17,33.5,82.6,0.0
baked_goods,6.49,26.6,74.1,0.0
fried_items,9.28,29.6,68.5,0.043
raw_salads,4.17,11.0,60.0,0.0
fried_items,0.04,23.5,89.3,0.957
baked_goods,0.63,26.5,87.5,0.804
rice_curry,1.09,25.3,80.9,0.375
raw_salads,0.95,29.8,76.5,0.206
fried_items,3.52,21.8,64.7,0.152
baked_goods,7.01,24.3,45.6,0.0
dairy_based,7.91,31.1,82.5,0.0
raw_salads,5.9,10.3,30.6,0.0
dry_snacks,1.46,27.5,43.6,0.724
dry_snacks,7.48,22.0,54.2,0.118
fried_items,3.55,18.5,65.2,0.244
baked_goods,0.13,26.0,63.7,0.96
baked_goods,2.81,31.4,40.5,0.259
dairy_based,3.31,30.2,36.3,0.0
fried_items,2.74,23.2,43.3,0.287
fried_items,8.12,29.3,50.9,0.0
raw_salads,7.6,29.2,30.8,0.027
fried_items,6.96,23.5,71.5,0.0
dairy_based,1.39,19.8,44.9,0.307
raw_salads,8.08,20.2,51.1,0.034
dry_snacks,6.77,29.0,50.1,0.0
raw_salads,1.95,23.7,60.7,0.0
dry_snacks,6.48,17.7,81.6,0.371
rice_curry,4.84,13.9,39.0,0.055
baked_goods,4.39,29.0,50.4,0.0
baked_goods,1.12,20.7,71.5,0.835
raw_salads,5.18,26.0,32.7,0.031
baked_goods,1.0,31.4,79.8,0.71
fried_items,1.64,16.1,87.7,0.662
dairy_based,1.33,23.7,66.5,0.107
dry_snacks,9.54,23.0,87.4,0.0
dry_snacks,2.85,26.3,54.8,0.549
rice_curry,3.55,31.4,54.9,0.0
dry_snacks,3.22,16.0,36.4,0.641
fried_items,8.98,27.4,32.1,0.0
baked_goods,5.63,30.2,44.7,0.0
raw_salads,9.19,22.9,58.7,0.028
dairy_based,3.0,23.2,60.5,0.028
raw_salads,1.15,26.5,43.1,0.264
raw_salads,5.56,26.1,66.8,0.006
raw_salads,3.46,27.5,40.9,0.012
dairy_based,8.02,27.4,49.6,0.008
rice_curry,8.79,18.1,41.7,0.012
raw_salads,4.73,29.9,71.8,0.002
rice_curry,9.71,31.0,61.0,0.0
dairy_based,5.53,25.1,74.2,0.0
dry_snacks,2.71,15.0,33.4,0.698
baked_goods,4.89,23.3,55.5,0.22
fried_items,0.37,25.2,88.0,0.908
dry_snacks,8.04,17.1,33.2,0.131
rice_curry,1.01,21.8,55.1,0.647
fried_items,3.09,15.5,32.4,0.385
fried_items,5.65,27.6,38.8,0.03
baked_goods,0.43,25.0,57.8,0.935
rice_curry,0.79,14.1,39.5,0.779
raw_salads,6.96,26.1,61.1,0.005
dairy_based,0.72,23.7,85.4,0.443
baked_goods,4.77,27.1,42.0,0.0
rice_curry,3.39,21.7,36.4,0.015
dry_snacks,2.28,19.2,79.5,0.746
dry_snacks,1.89,19.4,57.6,0.831
