distance_km,eta_minutes,spare_capacity_ratio,ngo_acceptance_track_record,accepted
0.1,3.0,0.327,0.589,1
0.75,3.0,0.957,0.795,1
9.92,24.7,0.315,0.686,0
7.42,15.7,0.083,0.444,0
7.21,16.9,0.52,0.605,0
1.2,3.0,0.228,0.46,1
8.95,22.4,0.753,0.437,0
3.45,9.6,0.657,0.523,1
0.13,3.2,0.686,0.813,1
0.79,3.4,0.193,0.811,1
3.24,10.0,0.709,0.908,1
0.53,4.2,0.311,0.846,1
0.36,3.0,0.999,0.716,1
4.29,10.7,0.732,0.584,1
0.1,3.0,0.59,0.403,1
0.11,3.0,0.867,0.782,1
5.85,15.9,0.589,0.571,1
1.05,3.0,0.553,0.548,1
8.07,18.5,0.237,0.975,1
4.61,11.0,0.678,0.503,1
3.45,10.2,0.375,0.419,0
1.28,3.2,0.043,0.96,1
0.52,3.6,0.816,0.581,1
0.23,3.2,0.052,0.632,1
4.3,13.2,0.672,0.448,1
0.32,3.2,0.157,0.638,1
0.61,3.0,0.433,0.974,1
2.3,6.7,0.859,0.809,1
0.12,3.0,0.094,0.68,1
3.24,4.8,0.667,0.581,1
0.2,3.0,0.613,0.616,1
0.61,4.2,0.868,0.761,1
0.25,3.0,0.173,0.55,1
7.01,21.6,0.8,0.49,1
10.76,27.2,0.45,0.811,0
3.94,14.8,0.429,0.913,1
3.52,9.2,0.362,0.932,1
0.87,3.0,0.386,0.896,1
3.39,5.9,0.52,0.713,1
3.55,11.1,0.107,0.865,1
4.29,9.7,0.425,0.947,1
4.81,10.7,0.652,0.414,1
4.98,15.0,0.498,0.643,0
0.1,3.0,0.166,0.52,1
3.53,11.1,0.363,0.988,1
2.93,6.6,0.443,0.948,1
6.19,15.4,0.669,0.873,1
0.38,3.0,0.901,0.575,1
3.37,10.0,0.55,0.962,1
1.92,7.9,0.676,0.417,1
1.97,5.7,0.077,0.511,0
0.49,5.2,0.954,0.764,1
4.33,12.6,0.315,0.868,1
2.13,4.8,0.354,0.921,1
0.33,3.0,0.223,0.577,1
20.0,53.4,0.085,0.631,0
2.81,11.0,0.79,0.668,1
1.54,6.2,0.24,0.416,0
9.78,24.5,0.283,0.91,0
5.6,13.6,0.182,0.599,1
4.64,12.7,0.975,0.518,1
0.22,3.9,0.781,0.641,1
3.37,9.3,0.93,0.819,1
6.55,17.3,0.862,0.914,1
2.06,5.3,0.906,0.527,0
4.38,10.3,0.479,0.502,1
0.98,3.0,0.171,0.957,1
0.45,3.0,0.327,0.725,1
6.49,19.7,0.292,0.616,1
1.64,3.6,0.717,0.518,1
2.15,5.5,0.026,0.987,1
1.08,3.0,0.142,0.824,0
2.08,6.6,0.683,0.529,1
1.05,5.4,0.123,0.454,1
0.17,3.7,0.048,0.518,1
5.98,15.4,0.109,0.546,0
0.56,3.0,0.691,0.466,1
1.15,3.0,0.139,0.535,1
5.83,15.6,0.146,0.469,0
3.29,8.8,0.23,0.623,0
2.62,6.7,0.751,0.687,1
6.52,16.6,0.2,0.669,0
0.54,3.0,0.035,0.889,1
2.0,4.4,0.906,0.55,1
1.89,4.2,0.876,0.923,1
10.48,29.6,0.185,0.936,0
5.18,18.4,0.265,0.966,1
0.66,3.0,0.189,0.507,1
0.5,3.0,0.72,0.545,1
1.39,3.0,0.25,0.768,1
0.66,3.0,0.931,0.483,1
1.4,5.3,0.828,0.451,1
0.34,3.0,0.588,0.443,1
2.7,7.1,0.009,0.758,1
0.67,3.0,0.884,0.875,1
0.73,3.0,0.728,0.553,1
12.03,29.6,0.788,0.951,0
5.08,12.7,0.072,0.867,1
6.42,12.9,0.709,0.446,1
0.2,3.0,0.805,0.64,1
0.92,3.0,0.957,0.44,1
1.4,5.0,0.58,0.94,1
5.25,13.6,0.508,0.838,1
2.84,8.3,0.425,0.805,0
0.1,3.0,0.701,0.803,1
1.01,3.0,0.921,0.568,1
5.06,14.0,0.6,0.951,1
17.03,37.0,0.227,0.944,0
1.27,5.6,0.018,0.836,1
1.88,3.0,0.619,0.677,1
2.8,8.7,0.865,0.428,1
1.88,3.0,0.066,0.417,0
4.99,14.6,0.398,0.481,0
6.64,23.0,0.94,0.752,0
0.63,3.0,0.502,0.871,1
2.38,7.3,0.221,0.96,1
0.33,3.0,0.354,0.503,1
0.53,3.0,0.408,0.563,1
1.9,4.3,0.117,0.432,0
1.1,3.0,0.661,0.984,1
0.27,3.0,0.592,0.861,1
2.25,7.2,0.648,0.684,1
4.02,7.2,0.611,0.74,1
3.93,12.3,0.017,0.732,1
1.14,3.0,0.174,0.55,1
2.32,3.0,0.166,0.509,1
0.67,4.9,0.098,0.575,1
0.79,3.0,0.735,0.546,1
1.17,6.7,0.12,0.729,1
8.54,23.8,0.668,0.582,1
1.61,3.0,0.178,0.83,1
2.65,6.4,0.118,0.735,1
2.3,6.0,0.163,0.714,1
4.13,13.4,0.508,0.961,1
8.76,22.8,0.645,0.59,0
1.27,3.5,0.812,0.775,1
3.94,9.5,0.129,0.4,1
1.21,3.0,0.616,0.835,1
6.2,18.1,0.774,0.697,1
0.45,3.0,0.312,0.523,1
0.44,3.0,0.08,0.401,1
2.25,4.5,0.156,0.817,1
0.26,3.0,0.092,0.791,1
0.97,3.0,0.887,0.793,1
2.34,4.4,0.377,0.658,1
0.91,5.3,0.523,0.777,1
7.93,19.4,0.769,0.737,1
2.35,7.3,0.371,0.541,1
1.94,3.0,0.649,0.706,1
2.23,6.7,0.077,0.704,1
3.81,9.2,0.481,0.886,1
1.08,3.0,0.097,0.656,1
4.23,10.9,0.248,0.657,1
7.65,18.1,0.293,0.981,1
6.12,11.1,0.718,0.928,1
2.17,7.3,0.674,0.543,1
0.73,3.0,0.747,0.937,1
0.98,3.0,0.062,0.481,1
4.82,10.1,0.994,0.904,0
2.77,4.0,0.054,0.508,1
1.18,3.4,0.826,0.651,1
0.1,3.5,0.74,0.981,1
5.91,15.2,0.592,0.457,0
0.5,3.0,0.439,0.895,1
1.79,4.9,0.757,0.692,1
0.94,3.0,0.74,0.465,1
1.26,4.9,0.137,0.962,1
0.24,3.0,0.793,0.724,1
1.0,3.0,0.079,0.92,0
7.52,19.9,0.501,0.913,0
1.81,3.0,0.645,0.409,1
1.75,3.0,0.822,0.556,1
2.66,6.3,0.463,0.599,1
1.31,4.1,0.237,0.716,1
1.19,3.0,0.491,0.442,1
0.1,3.0,0.25,0.629,1
4.7,13.3,0.529,0.881,1
3.63,9.2,0.463,0.502,1
1.52,3.0,0.781,0.814,1
2.95,5.4,0.24,0.672,1
1.52,5.9,0.2,0.442,1
0.37,3.0,0.474,0.505,1
0.47,3.3,0.051,0.483,1
10.02,24.7,0.229,0.766,0
3.8,9.3,0.354,0.452,1
1.34,3.0,0.488,0.886,1
4.25,10.3,0.269,0.876,1
2.18,6.7,0.561,0.447,1
4.63,8.9,0.878,0.924,1
3.29,9.2,0.544,0.966,1
4.23,10.8,0.287,0.426,1
0.1,3.0,0.062,0.961,1
12.92,34.0,0.137,0.565,0
0.14,3.0,0.561,0.792,1
1.5,4.4,0.684,0.503,1
0.4,4.2,0.05,0.882,1
0.65,4.5,0.186,0.897,1
1.58,4.7,0.319,0.977,1
1.32,3.0,0.32,0.986,1
8.67,20.4,0.958,0.445,1
1.46,3.0,0.204,0.788,1
9.02,23.6,0.063,0.561,0
2.62,4.9,0.353,0.474,1
1.5,5.3,0.134,0.488,1
2.74,11.1,0.127,0.952,1
2.6,6.4,0.407,0.803,1
0.89,3.0,0.306,0.43,1
0.87,3.0,0.092,0.981,1
6.88,18.8,0.604,0.877,1
0.24,3.0,0.502,0.582,1
2.17,7.2,0.077,0.678,1
9.16,21.8,0.863,0.829,0
1.15,4.5,0.285,0.799,1
5.04,12.3,0.961,0.673,1
1.11,3.0,0.932,0.702,1
9.38,22.6,0.434,0.425,0
0.45,3.0,0.229,0.695,1
1.59,8.0,0.835,0.601,1
2.16,5.2,0.361,0.568,1
4.1,11.5,0.164,0.559,1
2.57,5.4,0.552,0.783,1
4.61,9.4,0.489,0.653,0
0.46,3.0,0.85,0.651,1
4.79,14.2,0.729,0.494,1
7.38,17.4,0.876,0.967,1
4.3,9.0,0.735,0.532,0
1.16,3.2,0.642,0.64,1
0.68,3.0,0.5,0.512,0
0.95,5.7,0.988,0.815,1
0.38,3.0,0.959,0.657,1
3.28,9.5,0.849,0.644,1
2.39,7.4,0.775,0.916,1
2.4,3.7,0.578,0.848,1
2.91,5.3,0.26,0.707,1
6.87,15.0,0.875,0.676,1
0.2,3.0,0.011,0.966,1
1.53,5.4,0.227,0.964,1
0.74,3.0,0.404,0.816,1
3.73,9.5,0.586,0.848,1
6.37,10.7,0.561,0.93,0
1.02,6.7,0.176,0.969,1
1.88,3.0,0.105,0.449,1
0.14,4.5,0.222,0.988,1
1.9,3.0,0.349,0.815,1
1.11,3.0,0.014,0.75,1
2.91,3.0,0.692,0.644,1
2.01,5.7,0.248,0.598,1
4.84,9.9,0.351,0.874,1
1.66,3.0,0.335,0.786,1
1.91,3.0,0.512,0.518,1
5.61,15.6,0.86,0.76,1
1.74,5.8,0.149,0.483,0
2.97,11.0,0.341,0.693,1
0.76,3.0,0.692,0.744,1
4.26,11.1,0.044,0.775,1
3.1,5.2,0.83,0.486,1
3.22,7.4,0.962,0.456,1
3.39,7.4,0.608,0.553,1
2.83,8.0,0.957,0.758,1
0.24,3.0,0.413,0.95,1
1.1,4.7,0.415,0.86,1
6.29,14.0,0.106,0.84,1
5.26,15.1,0.035,0.595,1
5.16,12.8,0.245,0.466,1
8.8,21.4,0.478,0.926,0
2.52,4.9,0.508,0.696,1
2.33,4.7,0.218,0.459,1
2.08,8.7,0.613,0.716,1
0.2,3.0,0.181,0.798,1
2.21,5.9,0.326,0.589,0
3.98,9.4,0.196,0.405,1
0.99,7.4,0.697,0.767,1
6.71,19.4,0.517,0.424,0
3.02,6.1,0.736,0.655,1
3.59,8.4,0.057,0.887,1
2.82,6.6,0.425,0.989,1
5.12,13.1,0.967,0.618,1
1.86,3.2,0.054,0.412,1
2.34,6.7,0.418,0.691,1
0.82,5.0,0.04,0.563,1
2.17,3.0,0.147,0.927,1
0.82,3.0,0.463,0.82,1
5.42,12.6,0.158,0.639,1
2.56,5.5,0.519,0.85,1
2.52,10.3,0.923,0.601,0
4.8,14.0,0.2,0.708,1
0.75,3.8,0.107,0.944,1
0.78,3.0,0.825,0.518,1
9.25,22.6,0.46,0.585,1
2.76,4.0,0.883,0.923,1
2.54,7.9,0.306,0.673,1
0.1,3.0,0.628,0.588,1
1.49,6.3,0.923,0.422,1
6.93,16.9,0.172,0.647,1
5.02,12.3,0.801,0.695,1
1.53,4.2,0.632,0.64,1
3.17,9.7,0.813,0.564,1
1.4,3.0,0.171,0.618,1
1.81,6.0,0.434,0.779,1
1.3,3.2,0.129,0.926,1
0.74,3.0,0.96,0.783,1
2.37,3.0,0.063,0.781,0
2.02,4.8,0.065,0.882,1
9.22,26.0,0.898,0.497,0
0.35,4.2,0.301,0.578,1
1.79,5.2,0.597,0.43,1
4.33,14.8,0.287,0.606,1
2.18,5.4,0.649,0.989,1
7.96,21.8,0.192,0.594,1
1.46,3.0,0.459,0.907,1
0.5,3.0,0.533,0.451,1
6.46,14.8,0.334,0.671,1
0.21,3.0,0.252,0.607,1
1.67,6.8,0.14,0.519,1
1.25,3.0,0.706,0.62,1
2.76,5.3,0.168,0.784,1
3.9,7.4,0.292,0.689,1
1.92,4.4,0.337,0.898,1
5.65,17.7,0.454,0.934,1
0.14,4.5,0.703,0.684,1
1.17,3.0,0.428,0.979,1
2.62,5.8,0.871,0.442,1
1.43,3.0,0.68,0.563,1
0.47,3.1,0.838,0.646,1
0.69,3.0,0.716,0.744,1
1.52,3.0,0.149,0.722,1
1.26,3.3,0.978,0.735,1
3.92,8.9,0.787,0.929,1
3.55,12.1,0.573,0.564,1
3.36,9.5,0.165,0.882,1
2.92,8.6,0.173,0.729,1
4.19,5.1,0.614,0.689,1
8.87,22.1,0.416,0.577,0
1.05,6.8,0.676,0.579,1
6.46,18.8,0.372,0.629,0
0.1,3.0,0.513,0.85,0
9.12,22.2,0.188,0.681,0
0.32,3.0,0.155,0.491,1
0.36,4.3,0.076,0.848,1
1.71,4.8,0.82,0.791,1
0.5,3.0,0.555,0.96,1
0.1,3.0,0.947,0.712,1
0.1,3.0,0.749,0.786,1
1.0,3.0,0.769,0.683,1
5.24,13.2,0.509,0.802,1
0.39,3.0,0.815,0.657,1
2.76,3.0,0.942,0.481,1
5.18,12.2,0.722,0.982,1
0.65,3.7,0.106,0.825,1
1.02,3.0,0.651,0.759,1
15.19,38.4,0.12,0.684,0
3.62,9.2,0.077,0.82,1
2.17,8.8,0.693,0.475,1
5.59,13.5,0.835,0.592,1
0.33,3.0,0.159,0.474,0
4.64,13.3,0.074,0.474,1
4.1,7.6,0.887,0.413,0
1.36,3.0,0.132,0.846,1
1.09,3.0,0.035,0.534,1
2.47,5.9,0.721,0.891,1
4.36,12.6,0.848,0.934,1
4.82,13.2,0.514,0.499,1
6.78,15.5,0.54,0.818,1
0.6,3.0,0.337,0.672,1
0.83,5.1,0.238,0.942,1
4.06,8.5,0.755,0.686,1
0.6,3.0,0.849,0.624,1
0.1,3.0,0.321,0.574,1
0.71,3.0,0.274,0.933,1
1.09,3.0,0.268,0.533,1
1.09,5.6,0.051,0.888,1
3.38,6.9,0.281,0.515,1
3.04,9.7,0.026,0.78,1
1.78,3.2,0.788,0.666,1
3.9,8.5,0.256,0.462,0
2.01,7.5,0.69,0.474,1
3.14,9.8,0.543,0.566,1
9.44,24.0,0.837,0.852,1
4.24,12.1,0.96,0.83,1
0.94,3.0,0.367,0.521,1
0.51,3.0,0.088,0.681,1
8.53,20.0,0.75,0.457,1
3.24,9.9,0.021,0.822,1
5.36,12.0,0.223,0.868,1
2.61,9.5,0.053,0.927,1
2.62,5.9,0.898,0.923,1
20.0,50.0,0.005,0.599,0
7.45,20.1,0.493,0.55,0
0.2,3.0,0.424,0.929,1
0.57,3.0,0.653,0.486,1
1.34,3.3,0.29,0.435,0
1.28,5.0,0.874,0.585,1
0.59,3.0,0.734,0.849,1
3.32,8.1,0.432,0.81,1
1.67,4.2,0.358,0.982,1
6.51,18.0,0.816,0.612,0
1.31,3.1,0.757,0.563,1
2.24,9.2,0.399,0.623,1
1.64,3.8,0.341,0.862,0
3.19,7.5,0.039,0.526,1
0.87,3.0,0.082,0.959,1
5.31,10.6,0.054,0.702,1
10.26,23.6,0.024,0.862,0
0.21,3.0,0.153,0.888,1
0.1,3.0,0.857,0.683,1
1.6,3.9,0.798,0.837,1
2.32,4.8,0.846,0.615,1
3.89,12.2,0.624,0.878,1
1.6,7.1,0.624,0.886,1
1.87,7.2,0.124,0.734,1
2.79,5.3,0.699,0.529,1
1.51,3.0,0.28,0.972,1
10.24,29.2,0.519,0.959,1
0.2,3.0,0.955,0.766,1
0.36,3.0,0.871,0.98,1
2.24,7.0,0.233,0.697,1
0.93,4.3,0.737,0.622,1
5.19,11.8,0.104,0.672,0
1.28,3.6,0.027,0.427,0
0.69,3.6,0.028,0.724,1
0.53,3.0,0.17,0.793,1
2.9,7.3,0.695,0.465,1
0.54,3.0,0.363,0.551,1
1.7,3.0,0.016,0.825,1
3.43,7.4,0.988,0.868,1
3.87,10.6,0.533,0.982,1
1.44,3.0,0.394,0.549,1
0.14,3.0,0.519,0.896,1
1.35,3.5,0.52,0.502,1
1.63,3.0,0.47,0.477,1
1.86,5.5,0.613,0.83,1
0.82,4.3,0.886,0.663,1
12.62,31.4,0.302,0.868,0
4.15,10.0,0.487,0.567,1
0.28,3.0,0.004,0.526,1
0.25,3.0,0.86,0.724,1
1.79,5.6,0.306,0.468,0
4.8,18.2,0.271,0.564,1
0.26,3.0,0.998,0.498,1
4.84,11.9,0.584,0.589,1
3.21,9.5,0.123,0.852,0
5.01,15.8,0.266,0.471,1
5.19,14.9,0.353,0.761,1
4.16,6.1,0.986,0.745,1
2.84,8.2,0.431,0.717,1
6.28,20.8,0.23,0.686,1
3.0,8.7,0.57,0.792,1
2.56,4.1,0.405,0.903,1
2.25,6.2,0.055,0.496,1
4.2,7.9,0.861,0.88,1
1.05,5.1,0.016,0.436,1
12.88,30.3,0.898,0.684,1
4.83,12.2,0.792,0.702,1
0.54,3.0,0.076,0.517,1
3.81,8.4,0.724,0.453,1
3.96,12.9,0.771,0.444,0
0.39,3.0,0.602,0.422,1
1.68,3.1,0.578,0.738,1
1.03,3.0,0.05,0.492,1
0.6,3.0,0.059,0.877,0
0.89,3.0,0.727,0.93,1
4.11,10.5,0.106,0.573,0
2.11,7.2,0.242,0.497,1
1.05,3.0,0.499,0.642,1
0.69,4.9,0.164,0.92,1
5.41,12.1,0.79,0.636,1
1.85,4.1,0.807,0.464,1
3.63,6.9,0.842,0.981,1
1.67,6.1,0.05,0.695,1
0.9,6.4,0.428,0.602,1
4.2,7.0,0.847,0.927,1
2.17,4.7,0.363,0.947,1
3.1,10.3,0.696,0.693,1
5.67,11.3,0.589,0.581,1
7.72,20.4,0.347,0.685,0
3.82,12.0,0.276,0.529,0
2.93,7.5,0.653,0.682,1
4.77,13.0,0.134,0.535,1
0.97,5.9,0.86,0.767,1
1.17,6.8,0.576,0.848,1
3.93,9.7,0.112,0.972,1
1.16,3.0,0.704,0.897,1
1.14,3.0,0.431,0.451,1
6.38,17.9,0.204,0.525,0
5.08,9.9,0.961,0.714,1
1.2,3.0,0.72,0.552,1
1.82,4.8,0.593,0.408,1
5.23,12.1,0.849,0.845,1
0.3,3.0,0.544,0.611,1
3.83,14.7,0.441,0.439,1
0.56,3.0,0.189,0.7,0
5.86,13.8,0.153,0.977,1
1.92,6.8,0.432,0.8,1
0.53,3.0,0.456,0.494,1
0.1,3.1,0.733,0.703,1
0.1,3.0,0.442,0.932,1
1.19,3.0,0.593,0.432,0
4.61,8.0,0.833,0.776,1
0.11,3.0,0.993,0.826,1
4.01,6.4,0.323,0.815,1
6.71,17.5,0.902,0.489,1
1.29,3.0,0.806,0.935,1
4.01,12.5,0.068,0.59,1
0.1,3.0,0.334,0.431,1
0.39,3.0,0.219,0.449,1
0.86,3.0,0.664,0.67,1
1.66,5.4,0.555,0.424,1
3.71,7.7,0.495,0.86,1
5.22,11.1,0.764,0.911,1
1.43,5.9,0.333,0.408,1
2.16,6.1,0.383,0.878,1
12.05,29.6,0.866,0.979,0
2.38,7.2,0.972,0.418,1
1.6,4.0,0.776,0.828,1
5.17,13.7,0.217,0.989,1
16.38,39.3,0.113,0.87,0
1.62,8.2,0.209,0.698,1
3.31,7.1,0.423,0.922,1
7.39,21.6,0.237,0.818,0
1.34,3.0,0.901,0.573,1
1.77,6.0,0.671,0.532,1
2.33,7.3,0.417,0.702,1
2.57,8.7,0.274,0.62,1
4.01,8.4,0.381,0.594,1
3.6,11.2,0.476,0.505,1
1.64,7.8,0.714,0.899,0
7.7,18.7,0.089,0.816,1
1.71,4.3,0.849,0.595,1
0.81,3.0,0.128,0.54,1
2.93,6.6,0.262,0.476,1
5.5,17.2,0.994,0.466,1
0.94,3.0,0.19,0.769,1
2.68,4.8,0.101,0.464,1
1.2,6.2,0.638,0.967,1
0.1,3.0,0.393,0.565,1
0.83,6.3,0.092,0.415,1
3.51,7.9,0.004,0.905,1
4.22,10.8,0.079,0.617,0
0.79,3.0,0.523,0.602,1
2.99,7.7,0.231,0.47,1
1.68,3.0,0.778,0.79,1
2.79,8.3,0.858,0.612,1
0.12,3.0,0.145,0.886,1
0.47,3.0,0.337,0.772,0
0.65,3.0,0.147,0.919,1
1.03,3.0,0.287,0.767,1
1.64,5.6,0.239,0.86,0
1.71,3.0,0.787,0.811,1
1.67,5.2,0.345,0.673,1
0.42,5.2,0.496,0.806,1
8.67,24.6,0.674,0.792,1
1.26,3.0,0.822,0.404,1
2.41,4.9,0.301,0.812,1
5.95,15.7,0.209,0.555,1
0.41,3.0,0.978,0.72,1
2.51,3.5,0.32,0.466,1
1.49,4.5,0.671,0.414,1
5.04,12.6,0.678,0.409,0
1.98,8.8,0.514,0.493,0
1.3,3.0,0.228,0.412,1
0.1,3.0,0.141,0.478,1
8.11,17.7,0.487,0.73,1
0.34,3.0,0.511,0.636,1
2.93,8.8,0.773,0.979,1
1.11,5.0,0.71,0.877,1
9.89,22.8,0.912,0.487,1
0.5,3.0,0.971,0.646,1
8.13,17.6,0.728,0.654,1
12.41,30.7,0.077,0.614,0
0.95,4.0,0.405,0.692,1
0.33,3.0,0.609,0.795,1
3.19,7.5,0.59,0.778,1
0.92,3.0,0.181,0.611,1
1.18,3.0,0.583,0.816,1
4.06,13.7,0.35,0.571,1
6.36,16.0,0.339,0.893,0
2.79,5.0,0.834,0.969,0
4.93,11.7,0.422,0.574,1
0.37,3.0,0.527,0.863,1
7.51,16.8,0.563,0.88,1
0.41,3.8,0.563,0.69,1
0.36,3.0,0.213,0.452,1
0.92,6.1,0.599,0.864,1
2.25,5.4,0.335,0.64,1
0.55,3.0,0.655,0.523,1
7.73,20.6,0.146,0.77,0
0.76,3.0,0.994,0.658,1
6.44,16.5,0.772,0.452,1
7.49,18.6,0.417,0.98,1
1.71,7.2,0.301,0.544,0
6.74,18.8,0.388,0.701,1
4.99,10.2,0.721,0.794,1
1.57,6.4,0.655,0.468,1
5.03,12.1,0.702,0.836,1
3.46,6.8,0.889,0.782,1
0.99,3.0,0.456,0.691,1
11.15,27.5,0.67,0.712,0
2.91,10.4,0.442,0.963,1
5.6,14.7,0.638,0.937,1
1.69,4.6,0.475,0.466,1
3.21,9.8,0.777,0.618,1
0.85,4.3,0.005,0.705,1
1.1,4.3,0.216,0.943,1
4.3,13.6,0.296,0.882,1
6.1,16.5,0.945,0.628,1
12.3,31.1,0.507,0.923,0
2.1,7.7,0.364,0.623,1
0.1,3.0,0.404,0.56,1
0.55,3.0,0.452,0.76,1
0.57,4.9,0.868,0.61,1
10.01,28.3,0.962,0.767,1
1.12,3.0,0.844,0.642,1
1.17,3.0,0.842,0.87,1
8.13,23.3,0.199,0.963,1
2.37,7.5,0.269,0.559,1
1.29,3.9,0.596,0.701,1
0.1,3.0,0.656,0.827,1
0.3,3.0,0.203,0.494,1
0.74,3.0,0.746,0.87,1
0.8,3.0,0.2,0.744,1
1.82,4.8,0.263,0.488,1
2.72,7.3,0.307,0.912,1
0.84,3.0,0.846,0.652,1
2.6,8.3,0.732,0.504,1
1.68,6.8,0.531,0.515,1
5.34,15.3,0.82,0.863,1
2.3,5.2,0.813,0.952,1
2.1,6.8,0.39,0.623,1
1.45,3.8,0.781,0.447,1
2.01,3.0,0.206,0.459,1
1.09,4.1,0.503,0.786,1
0.86,3.0,0.118,0.619,1
2.6,11.7,0.427,0.651,1
1.22,6.0,0.52,0.599,0
1.16,4.3,0.08,0.675,1
9.58,24.4,0.463,0.78,1
3.47,9.0,0.652,0.719,1
1.52,3.0,0.614,0.497,0
3.33,4.8,0.054,0.69,0
5.4,11.8,0.095,0.672,1
11.87,29.6,0.351,0.722,1
2.51,3.0,0.843,0.465,1
0.17,3.0,0.87,0.491,1
2.15,4.9,0.31,0.713,1
0.26,3.0,0.719,0.563,1
10.25,24.3,0.577,0.771,0
0.47,3.0,0.983,0.62,1
0.21,4.0,0.095,0.53,1
6.93,18.7,0.548,0.787,1
1.73,3.2,0.593,0.632,1
2.16,5.3,0.308,0.493,1
1.76,4.3,0.047,0.877,1
7.96,18.4,0.052,0.655,0
2.62,5.0,0.454,0.94,1
1.93,6.8,0.692,0.514,1
0.34,3.0,0.7,0.917,1
8.79,19.8,0.181,0.881,1
0.79,3.0,0.858,0.461,1
8.29,21.0,0.377,0.714,1
0.15,3.0,0.964,0.786,1
6.13,15.2,0.118,0.692,1
1.68,5.9,0.836,0.63,1
13.0,33.4,0.908,0.957,0
5.33,17.8,0.823,0.813,1
0.39,3.5,0.809,0.97,1
0.41,3.9,0.361,0.899,1
1.18,8.6,0.713,0.882,1
10.51,27.8,0.579,0.828,0
2.69,7.1,0.424,0.781,1
2.65,8.6,0.993,0.923,1
5.35,12.2,0.29,0.762,1
3.69,9.4,0.413,0.444,1
3.57,7.6,0.903,0.744,1
5.76,15.2,0.289,0.461,1
2.54,5.1,0.153,0.96,1
3.96,8.5,0.31,0.782,1
1.49,4.6,0.759,0.728,1
2.26,5.4,0.86,0.517,1
2.92,3.4,0.114,0.704,1
1.51,3.0,0.622,0.602,1
5.17,10.6,0.567,0.798,0
7.15,16.1,0.669,0.757,0
0.55,3.0,0.671,0.695,1
5.52,14.2,0.959,0.549,1
0.21,3.0,0.347,0.71,1
0.71,3.3,0.3,0.672,0
2.54,8.5,0.581,0.902,1
5.79,15.7,0.429,0.928,1
10.96,27.8,0.474,0.848,0
3.13,10.0,0.069,0.589,1
0.18,3.0,0.148,0.422,1
4.58,12.2,0.935,0.946,0
0.7,4.3,0.068,0.985,1
0.76,3.0,0.59,0.475,1
0.28,3.0,0.755,0.805,1
1.99,4.4,0.012,0.651,1
1.21,5.3,0.223,0.488,0
6.14,18.5,0.377,0.989,1
3.79,6.6,0.507,0.951,1
1.32,6.1,0.342,0.98,1
1.09,3.0,0.649,0.485,1
2.15,3.1,0.226,0.69,1
0.86,3.0,0.025,0.929,1
0.16,3.0,0.002,0.798,1
1.32,3.0,0.346,0.656,1
0.87,3.5,0.362,0.705,1
3.92,11.2,0.949,0.423,1
3.17,10.0,0.045,0.761,1
0.77,3.0,0.53,0.907,1
5.98,14.9,0.578,0.402,1
2.48,6.1,0.699,0.494,1
9.04,26.0,0.639,0.706,1
4.46,5.5,0.008,0.731,1
6.97,15.5,0.632,0.603,0
9.54,23.8,0.322,0.416,0
1.55,3.0,0.773,0.839,1
3.3,7.7,0.188,0.543,1
0.52,3.0,0.716,0.78,1
0.83,3.0,0.625,0.73,1
0.69,3.0,0.652,0.654,1
1.85,5.9,0.176,0.748,1
3.74,8.9,0.669,0.81,1
2.53,5.4,0.737,0.738,1
0.1,3.0,0.489,0.729,1
0.73,3.0,0.34,0.657,1
3.75,5.9,0.167,0.654,0
3.05,8.5,0.29,0.69,1
0.96,3.0,0.764,0.667,1
1.1,5.3,0.409,0.659,1
4.53,12.5,0.703,0.524,1
2.2,7.8,0.74,0.828,1
2.73,4.8,0.674,0.478,1
1.71,3.5,0.674,0.936,1
4.09,7.7,0.611,0.769,1
6.69,15.3,0.518,0.429,1
10.06,27.7,0.198,0.789,1
3.37,11.4,0.843,0.613,1
1.55,3.0,0.964,0.949,1
0.47,3.0,0.466,0.952,1
0.11,3.0,0.933,0.899,1
9.27,24.4,0.998,0.735,1
4.05,6.6,0.486,0.942,1
1.49,3.0,0.724,0.783,1
2.87,8.2,0.644,0.916,1
5.67,10.3,0.237,0.494,0
11.66,28.2,0.047,0.933,1
0.66,3.0,0.453,0.79,1
2.72,7.6,0.787,0.579,1
4.77,11.7,0.325,0.989,1
13.95,34.1,0.784,0.805,0
4.26,12.3,0.655,0.936,1
2.93,7.9,0.696,0.403,1
3.46,7.4,0.286,0.726,0
1.06,3.0,0.47,0.82,1
3.44,9.4,0.182,0.408,1
5.95,18.3,0.247,0.85,1
0.93,3.9,0.09,0.784,1
8.08,22.6,0.127,0.562,0
0.33,3.0,0.211,0.806,1
1.46,3.0,0.58,0.477,1
0.54,3.0,0.441,0.886,1
0.26,3.0,0.267,0.911,1
11.03,25.6,0.861,0.686,1
0.95,4.9,0.525,0.699,1
2.16,7.2,0.923,0.637,1
2.95,6.8,0.635,0.604,1
0.42,3.0,0.016,0.915,0
1.03,3.0,0.913,0.58,1
0.98,3.9,0.857,0.638,1
1.12,3.0,0.635,0.577,1
1.98,4.7,0.535,0.787,1
1.22,3.0,0.453,0.88,1
5.06,13.9,0.482,0.497,1
2.16,4.2,0.769,0.55,1
1.57,3.0,0.513,0.461,1
